collection_title,collection_uri,accession_id,level_of_description,publish,container_indicator,container_type,instance_type
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1986-S-0028,Series,TRUE,1,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1986-S-0028,Series,TRUE,2,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0054,Series,TRUE,1,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0054,Series,TRUE,2,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0060,Series,TRUE,1,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0060,Series,TRUE,2,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0060,Series,TRUE,3,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0060,Series,TRUE,4,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0060,Series,FALSE,5,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1994-S-0060,Series,FALSE,6,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1996-S-0065,Series,FALSE,1,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1996-S-0065,Series,FALSE,2,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1996-S-0065,Series,FALSE,3,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1998-S-0017,Series,FALSE,1,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1998-S-0017,Series,FALSE,2,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,1998-S-0017,Series,FALSE,3,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/8000,2000-S-0034,Series,FALSE,1,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/8000,2000-S-0034,Series,FALSE,2,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,2000-S-0032,Subseries,FALSE,1,,Mixed_Materials
Jane C. Wright papers (SSC-MS-00177),/repositories/2/resources/800,2000-S-0032,Subseries,FALSE,2,,Mixed_Materials
Florence Rena Sabin papers ,/repositories/2/resources/446,2019-S-0073,Subseries,FALSE,1,,Mixed_Materials
Mary Webb Papers,/repositories/3/resources/406,2019-MD-0090,Subseries,FALSE,1,msidfa,Mixed_Materials
